id,Rings
90615,9.232278736133516
90616,9.231750684983188
90617,9.23024228400366
90618,9.230244748419722
90619,9.225759846726104
90620,9.229566030688947
90621,9.234169710443272
90622,9.22321145843492
90623,9.226926264985968
90624,9.236012929274084
90625,9.23299498105108
90626,9.22328263505692
90627,9.228458175676009
90628,9.231888240861736
90629,9.22529937222815
90630,9.225295971359207
90631,9.23831456235695
90632,9.222734461623828
90633,9.234124042961575
90634,9.230377352954447
90635,9.22321145843492
90636,9.224933214586242
90637,9.231217734681715
90638,9.22889815722611
90639,9.232148569207691
90640,9.230213298924074
90641,9.226157472748223
90642,9.23022163042489
90643,9.222448837868564
90644,9.23324606778525
90645,9.233548694936353
90646,9.228590754544282
90647,9.230642567739048
90648,9.23772074929299
90649,9.232148569207691
90650,9.233623355269584
90651,9.230573798823924
90652,9.227927879249046
90653,9.24033705347798
90654,9.223428390127975
90655,9.22728663650575
90656,9.228226930142764
90657,9.226966031844126
90658,9.224188628895462
90659,9.230054176539177
90660,9.224983762636743
90661,9.227662742462865
90662,9.225193346808675
90663,9.232395641436838
90664,9.22618890842472
90665,9.231422531021437
90666,9.229807166971014
90667,9.222734461623828
90668,9.234716097944895
90669,9.22723361222395
90670,9.230229023658504
90671,9.2294177144307
90672,9.22969862547301
90673,9.237167373524285
90674,9.225892386829353
90675,9.222438051051347
90676,9.230728001074752
90677,9.229004225225077
90678,9.221892390001008
90679,9.22807617156572
90680,9.22969862547301
90681,9.230674018697314
90682,9.24101656328111
90683,9.232429563367628
90684,9.233962387748896
90685,9.229932372217391
90686,9.224141485643965
90687,9.232398106427832
90688,9.22862219851154
90689,9.231336152870373
90690,9.239572077658579
90691,9.226340574049003
90692,9.23521531792812
90693,9.23089206425323
90694,9.23132136463549
90695,9.229621532623652
90696,9.231337091257636
90697,9.225018595079574
90698,9.229995269401465
90699,9.222305560573435
90700,9.230229023658504
90701,9.232117113225309
90702,9.230642567739048
90703,9.241793996186015
90704,9.222239316048242
90705,9.236687188818346
90706,9.23473030346847
90707,9.222999456806598
90708,9.228529392787548
90709,9.230923516061589
90710,9.230229023658504
90711,9.231679443012746
90712,9.230525684634038
90713,9.236042871431513
90714,9.225012731294331
90715,9.22733473381207
90716,9.2247766461824
90717,9.230509959394215
90718,9.221193653057554
90719,9.222692250602867
90720,9.231056130347703
90721,9.228903085341145
90722,9.227096125699749
90723,9.226637110049175
90724,9.231772280414878
90725,9.223825915665381
90726,9.225847698112323
90727,9.22699993382529
90728,9.22922129316511
90729,9.231308102740105
90730,9.230822355144305
90731,9.222882670482559
90732,9.225744129605422
90733,9.231655383004876
90734,9.231111641243114
90735,9.226986678138157
90736,9.2262394633558
90737,9.222718749657234
90738,9.224813940809252
90739,9.235512139163918
90740,9.231255055349088
90741,9.222289849337518
90742,9.230952503371425
90743,9.237464257499452
90744,9.224837982986609
90745,9.224422236096418
90746,9.227116772284878
90747,9.220926247830397
90748,9.23503756006317
90749,9.231703503083322
90750,9.22103468616501
90751,9.224917498873824
90752,9.227132491744014
90753,9.225198272945386
90754,9.230229023658504
90755,9.228659508685482
90756,9.23011214579
90757,9.233506434420324
90758,9.229269400555843
90759,9.225759846726104
90760,9.226144218271385
90761,9.230799235702808
90762,9.230229023658504
90763,9.230244748419722
90764,9.23666064962935
90765,9.234981437393877
90766,9.226040646435775
90767,9.240915291754968
90768,9.237462730165777
90769,9.223065706791978
90770,9.237923811789411
90771,9.233862132172815
90772,9.222988669345362
90773,9.226761334370504
90774,9.2240909422087
90775,9.230096421254686
90776,9.225611591632047
90777,9.229285123682233
90778,9.232811747690292
